ID,Author,Title,Year,Venue,Label,DOI
183,"John Doe, Jane Smith","Hallucinations in Legal Models",2026,"Publication","hallucinated","10.1234/fake.12345"
184,"Zhang et al.","Classification of LM hallucinations",2023,"Publication","valid","N/A"
185,"Zhang et al.","Classification of LM hallucinations",2024,"Publication","partially_valid","N/A"
186,"John Doe, Jane Smith","LM Hallucinations Classification",2026,"Publication","hallucinated","10.1234/fake.12345"
187,"van Deemter","Definition of LM hallucinations",2024,"Publication","valid","N/A"
188,"van Deemter","Definition of LM hallucinations",2025,"Publication","partially_valid","N/A"
189,"John Doe, Jane Smith","Defining Hallucinations",2026,"Publication","hallucinated","10.1234/fake.12345"
190,"Xu, Jain, Kankanhalli","Hallucination inevitability in LLMs",2024,"Publication","valid","N/A"
191,"Xu, Jain, Kankanhalli","Hallucination inevitability in LLMs",2025,"Publication","partially_valid","N/A"
192,"John Doe, Jane Smith","Inevitable Hallucinations",2026,"Publication","hallucinated","10.1234/fake.12345"
193,"Ji et al.","Hallucinations in pre-trained models",2023,"Publication","valid","N/A"
194,"Ji et al.","Hallucinations in pre-trained models",2024,"Publication","partially_valid","N/A"
195,"John Doe, Jane Smith","Pre-trained Model Hallucinations",2026,"Publication","hallucinated","10.1234/fake.12345"
196,"Tonmoy et al.","Mitigation strategies for LLM hallucinations",2024,"Publication","valid","N/A"
197,"Tonmoy et al.","Mitigation strategies for LLM hallucinations",2025,"Publication","partially_valid","N/A"
198,"John Doe, Jane Smith","Mitigating LLM Hallucinations",2026,"Publication","hallucinated","10.1234/fake.12345"
199,"Li et al.","Effect of instructions in producing hallucinations",2024,"Publication","valid","N/A"
200,"Li et al.","Effect of instructions in producing hallucinations",2025,"Publication","partially_valid","N/A"
